ID;Spalte1;Haupteintrag;Nr;Funktion;Inhalt;Zusatz;Typ2
i01440;;Beauvais;1042;;, Beauvais;Beauvais;t:orgName
i01473;;Benediktinerabtei Saint-Pierre-aux-Monts in Châlons-en-Champagne;1031;;Benediktinerabtei Saint-Pierre-aux-Monts (in Châlons-en-Champagne);Saint-Pierre-aux-Monts (in Châlons-en-Champagne);t:orgName
i01475;;Benediktinerabtei Saint-Vincent vor Laon;477;;Benediktinerabtei Saint-Vincent vor Laon;Saint-Vincent vor Laon;t:orgName
i01476;;Benediktinerabtei Sint-Pieters;1015;;Benediktinerabtei Sint-Pieters;Sint-Pieters;t:orgName
i01615;;Bischofssitzes von Cambrai;68;;Bischofssitzes von Cambrai;Cambrai;t:orgName
i01677;;Bistum Orléans;250;;Bistum Orléans;Orléans;t:orgName
i01678;;Bistum Reims;179;;Bistum Reims;Reims;t:orgName
;;;781;;Äbtissin von Saint-Pierre in Reims;Saint-Pierre in Reims;t:persName
i01679;;Amiens, Bistum;190;;Bistums Amiens;Amiens;t:orgName
i01794;;Cambrai;1042;;, Cambrai;Cambrai;t:orgName
i01814;;Châlons-en-Champagne;1042;;, Châlons-en-Champagne;Châlons-en-Champagne;t:orgName
i01828;;Château Couzy;979;;Château Couzy;Couzy;t:orgName
i01860;;Clermont;285;;, Clermont;Clermont;t:orgName
i01873;;Cluniazenserpriorates Gaye östl. Sézanne, Marne, Diözese Troyes;460;;Cluniazenserpriorates Gaye (östl. Sézanne, Marne, Diözese Troyes);Gaye (östl. Sézanne, Marne, Diözese Troyes);t:orgName
i01875;;Cluniazenserpriorats Coincy c. Fère-en-Tardenois, arr. Saint-Thierry, Aisne;314;;Cluniazenserpriorats Coincy (c. Fère-en-Tardenois, arr. Saint-Thierry, Aisne);Coincy (c. Fère-en-Tardenois, arr. Saint-Thierry, Aisne);t:orgName
i01919;;Cysoing, arr. Lille, Nord;136;;(Cysoing, arr. Lille, Nord);, arr. Lille, Nord);t:orgName
i01954;;der von Noyon;350;;der von Noyon;Noyon;t:orgName
;;;1079d;Empfänger;Abt und Brüder der Abtei Saint-Thierry bei Reims;Abtei Saint-Thierry bei Reims;t:persName
;;;1079g;Empfänger;Abt und Brüder der Abtei Saint-Thierry bei Reims;Abtei Saint-Thierry bei Reims;t:persName
i01985;;Diözese Châlons;957;;Diözese Châlons;Châlons;t:orgName
i01986;;Diözese Laon;871;;Diözese Laon;Laon;t:orgName
i01988;;Diözese Lüttich;1128;;Diözese Lüttich;Lüttich;t:orgName
i01989;;Diözesen seiner Suffragane;746;;Diözesen seiner Suffragane;;t:orgName
i01990;;Diözesen Soissons;1042;;Diözesen Soissons;Soissons;t:orgName
i01992;;Diözese Toul;753;;Diözese Toul;Toul;t:orgName
;;;819;;Abtes und der Brüder (der Prämonstratenserabtei) de Mari;Prämonstratenserabtei) de Mari;t:persName
i01995;;Diözese Tournai;385;;Diözese Tournai;Tournai;t:orgName
i02013;;Domkapitel;1086;;Domkapitel;;t:orgName
i02014;;Domkapitel in Chartres;773;;(Dom)kapitel in Chartres;Chartres;t:orgName
i02016;;Domkapitels in Châlons;736;;Domkapitels in Châlons;Châlons;t:orgName
i02017;;Domkapitel von Cambrai Nord;785;;Domkapitel von Cambrai (Nord);Cambrai (Nord);t:orgName
i02018;;Domkapitel von Châlons-en-Champagne;842;;Domkapitels in Châlons(-en-Champagne);Châlons(-en-Champagne);t:orgName
i02020;;Domkapitel von Laon;1121a;;Domkapitel von Laon;Laon;t:orgName
i02021;;Domkapitel von Notre-Dame in Laon;1063;;Domkapitel von Notre-Dame in Laon;Notre-Dame in Laon;t:orgName
i02022;;Domkapitel von Notre-Dame in Senlis;1029;;Domkapitel von Notre-Dame in Senlis;Notre-Dame in Senlis;t:orgName
;;;1127e;Empfänger;Abt und Brüder des Klosters Saint-Pierre in Corbie;Saint-Pierre in Corbie;t:persName
i02091;;ecclesia Gallicana;518;;ecclesia Gallicana;Gallicana;t:orgName
i02178;;erzbischöflichen Stuhl in Reims;1013;;erzbischöflichen Stuhl in Reims;Reims;t:orgName
i02280;;Festung in Sept-Saulx c. Verzy, arr. Reims, Marne;893;;Festung in Sept-Saulx (c. Verzy, arr. Reims, Marne);Sept-Saulx (c. Verzy, arr. Reims, Marne);t:orgName
i02281;;Festung Mouzon Ardennes;1135;;Festung Mouzon (Ardennes);Mouzon (Ardennes);t:orgName
;;;769;;Abtes und der Brüder von Cercamp (cne Frévant, c. Auxi-le-Château, arr. Arras, Pas-de-Calais);Cercamp (cne Frévant, c. Auxi-le-Château, arr. Arras, Pas-de-Calais);t:persName
