ID;Spalte1;Haupteintrag;Nr;Funktion;Inhalt;Zusatz;Typ2
i02313;;Fraisnois genannt und bei Cambrai Nord;957;;Fraisnois genannt und bei Cambrai (Nord);Cambrai (Nord);t:orgName
i02496;;Galliens;30;Empfänger;Galliens;Galliens;t:orgName
i02644;;gesamte Kirche von Reims;441;Aussteller;gesamte Kirche von Reims;Reims;t:orgName
i02795;;Grundherrschaften von Notre-Dame;418;;Grundherrschaften von Notre-Dame;Notre-Dame;t:orgName
i03751;;Hospital bei Valenciennes Nord;788;;Hospital bei Valenciennes (Nord);Valenciennes (Nord);t:orgName
i03752;;Hospitals von Jerusalem;886;;Hospitals von Jerusalem;Jerusalem;t:orgName
i04064;;Johanniter;685;;Johanniter;;t:orgName
i04069;;Johanniterbrüder;957;;Johanniterbrüder;;t:orgName
i04185;;Kapellanie Maceium;504;;Kapellanie in Maceium;Maceium;t:orgName
i04187;;Kapellen Sint-Jans;1015;;Kapellen Sint-Jans;Sint-Jans;t:orgName
;;;795;;Abtes und der Brüder von Maroilles (c. Landrecies, arr. Avesnes-sur-Helpe, Nord);Maroilles (c. Landrecies, arr. Avesnes-sur-Helpe, Nord);t:persName
i04188;;Kapelle Sankt Trinitatis;223b;;Kapelle Sankt Trinitatis;;t:orgName
i04189;;Kapelle von Bonne-Voisine;461;;Kapelle von Bonne-Voisine;Bonne-Voisine;t:orgName
i04190;;Kapelle von Bonne-Voisine östlich Champfleury, ca. 8 km nordöstl. PLancy-lAbbaye, arr. Méry-sur-Seine, Aube;460;;Kapelle von Bonne-Voisine (östlich Champfleury, ca. 8 km nordöstl. PLancy-l’Abbaye, arr. Méry-sur-Seine, Aube);Bonne-Voisine (östlich Champfleury, ca. 8 km nordöstl. PLancy-l’Abbaye, arr. Méry-sur-Seine, Aube);t:orgName
i04191;;Kapelle von Kooigem;1079d;;Kapelle von Kooigem;Kooigem;t:orgName
i04193;;Kapitel der Abtei Corbie arr. Amien, Somme;917;Empfänger;Kapitel der Abtei Corbie (arr. Amien, Somme);Corbie (arr. Amien, Somme);t:orgName
i04195;;Kapitel von;445;Empfänger;Kapitel von;;t:orgName
i04197;;Kapitel von Péronne;1124b;Empfänger;Kapitel von Péronne;Péronne;t:orgName
i04245;;Kartäuserniederlassungen Le Mont-Dieu Diözese Reims;1035;;Kartäuserniederlassungen Le Mont-Dieu (Diözese Reims);Le Mont-Dieu (Diözese Reims);t:orgName
;;;944;;Abtes und der Brüder (von Saint-Corneille) in Compiègne (Oise);Saint-Corneille) in Compiègne (Oise);t:persName
;;;945;;Abt und Brüder (von Saint-Corneille) in Compiègne (Oise);Saint-Corneille) in Compiègne (Oise);t:persName
;;;953;;Abtes und der Brüder (von Saint-Corneille) in Compiègne (Oise);Saint-Corneille) in Compiègne (Oise);t:persName
i04248;;Kathedrale;224;;Kathedrale;;t:orgName
i04250;;Kathedrale in Châlons;1075;;Kathedrale in Châlons;Châlons;t:orgName
i04251;;Kathedrale Notre-Dame;1126;;Kathedrale Notre-Dame;Notre-Dame;t:orgName
i04253;;Kathedrale von Laon;1072;;Kathedrale von Laon;Laon;t:orgName
;;;856;;Abtes und der Brüder von Saint-Jean-des-Vignes (Soissons, Aisne);Saint-Jean-des-Vignes (Soissons, Aisne);t:persName
;;;876;;Abt und Brüder von Saint-Jean-des-Vignes (Soissons, Aisne);Saint-Jean-des-Vignes (Soissons, Aisne);t:persName
i04254;;Kathedrale von Meaux;1062;;Kathedrale von Meaux;Meaux;t:orgName
;;;1120h;Empfänger;Abt und Brüder von Saint-Jean in Laon;Saint-Jean in Laon;t:persName
i04255;;Kathedrale von Reims;223a;;Kathedrale von Reims;Reims;t:orgName
i04256;;Kathedrale von Senlis;1007;;Kathedrale von Senlis;Senlis;t:orgName
i04257;;Kathedralkirche Saint-Étienne;926;;(Kathedral)kirche Saint-Étienne;Saint-Étienne;t:orgName
i04261;;Kirche Aubigny;1114a;;Kirche Aubigny;Aubigny;t:orgName
i04262;;Kirche de Acciti curia Auzécourt, Noyers-Auzécourt, c. Vaubecourt, arr. Bar-le-Duc, Meuse;883;;Kirche de Acciti curia (Auzécourt?, Noyers-Auzécourt, c. Vaubecourt, arr. Bar-le-Duc, Meuse);Acciti curia (Auzécourt?, Noyers-Auzécourt, c. Vaubecourt, arr. Bar-le-Duc, Meuse);t:orgName
i04263;;Kirche der hl. Maria in Pogny c. Marson, arr. Châlons-en-Champagne, Marne;736;;Kirche der hl. Maria in Pogny (c. Marson, arr. Châlons-en-Champagne, Marne);Pogny (c. Marson, arr. Châlons-en-Champagne, Marne);t:orgName
i04264;;Kirche der neulich gegründeten Ortschaft Maurupt-le-Montois, c. Thiéblemont-Faremont, ibid.;1031;;Kirche der neulich gegründeten Ortschaft Maurupt(-le-Montois, c. Thiéblemont-Faremont, ibid.);Maurupt(-le-Montois, c. Thiéblemont-Faremont, ibid.);t:orgName
i04265;;Kirche des hl. Romaclus;576;;Kirche des hl. Romaclus;;t:orgName
i04266;;Kirche in Aubigny;1114b;;Kirche in Aubigny;Aubigny;t:orgName
i04267;;Kirche in Courtémont c. et arr. Sainte-Menehoulde, Marne;897;;Kirche in Courtémont (c. et arr. Sainte-Menehoulde, Marne);Courtémont (c. et arr. Sainte-Menehoulde, Marne);t:orgName
i04268;;Kirche in Meetkerke;1128a;;Kirche in Meetkerke;Meetkerke;t:orgName
;;;950;;Abtes und der Brüder von Saint-Remi;Saint-Remi;t:persName
i04269;;Kirche in Vieil-Arcy cne Pont-Arcy, c. Vailly-sur-Aisne, arr. Soissons, Aisne;936;;Kirche in Vieil-Arcy (cne Pont-Arcy, c. Vailly-sur-Aisne, arr. Soissons, Aisne);Vieil-Arcy (cne Pont-Arcy, c. Vailly-sur-Aisne, arr. Soissons, Aisne);t:orgName
i04270;;Kirche in Villeseneux c. Vertus, arr. Châlons-en-Champagne, Marne;959;;Kirche in Villeseneux (c. Vertus, arr. Châlons-en-Champagne, Marne);Villeseneux (c. Vertus, arr. Châlons-en-Champagne, Marne);t:orgName
i04272;;Kirche Notre-Dame;294;;Kirche Notre-Dame;;t:orgName
i04273;;Kirche Notre-Dame-en-Vaux;1075;;Kirche Notre-Dame-en-Vaux;Notre-Dame-en-Vaux;t:orgName
i04274;;Kirche Notre-Dame in Pogny c. Marson, arr. Châlons-en-Champagne, Marne;796;;Kirche Notre-Dame in Pogny (c. Marson, arr. Châlons-en-Champagne, Marne);Notre-Dame in Pogny (c. Marson, arr. Châlons-en-Champagne, Marne);t:orgName
i04275;;Kirche Notre-Dame in Rethel Ardennes;409;;Kirche Notre-Dame in Rethel (Ardennes);Notre-Dame in Rethel (Ardennes);t:orgName
i04276;;Kirchenprovinz;120;;Kirchenprovinz;;t:orgName
i04279;;Kirchenprovinz Reims;97;;Kirchenprovinz Reims;Reims;t:orgName
i04285;;Kirchen von Augy c. Braine, arr. Soissions, Aisne;791;;Kirchen von Augy (c. Braine, arr. Soissions, Aisne);Augy (c. Braine, arr. Soissions, Aisne);t:orgName
i04286;;Kirchen von Le Puy;285;;Kirchen von Le Puy;Le Puy;t:orgName
i04287;;Kirchen von Marchiennes arr. Douai, Nord;411;;Kirchen von Marchiennes (arr. Douai, Nord);Marchiennes (arr. Douai, Nord);t:orgName
i04290;;Kirchen von Narcy c. Chevillon, arr. Saint-Dizier, Haute-Marne;609;;Kirchen von Narcy (c. Chevillon, arr. Saint-Dizier, Haute-Marne);Narcy (c. Chevillon, arr. Saint-Dizier, Haute-Marne);t:orgName
i04291;;Kirche O. L. Vrouwe in Brügge Prov. Westflandern, Belgien;903;;Kirche O. L. Vrouwe in Brügge (Prov. Westflandern, Belgien);O. L. Vrouwe in Brügge (Prov. Westflandern, Belgien);t:orgName
i04293;;Kirche Saint-Chilian in Aubigny;1114b;;Kirche Saint-Chilian in Aubigny;Saint-Chilian in Aubigny;t:orgName
i04294;;Kirche Saint-Étienne in Villeseneux c. Vertus, arr. Châlons, Marne;841;;Kirche Saint-Étienne in Villeseneux (c. Vertus, arr. Châlons, Marne);Villeseneux (c. Vertus, arr. Châlons, Marne);t:orgName
i04295;;Kirche Saint-Germain in Mons Hainaut, Belgien;679;;Kirche Saint-Germain in Mons (Hainaut, Belgien);Saint-Germain in Mons (Hainaut, Belgien);t:orgName
i04296;;Kirche Saint-Jean-des-Vignes Soissons, Aisne;693;;Kirche Saint-Jean-des-Vignes (Soissons, Aisne);Saint-Jean-des-Vignes (Soissons, Aisne);t:orgName
i04297;;Kirche Saint-Julien in Élise-Daucourt, ibid.;973;;Kirche Saint-Julien in Élise(-Daucourt, ibid.);Saint-Julien in Élise(-Daucourt, ibid.);t:orgName
i04298;;Kirche Saint-Maurice;655;;Kirche Saint-Maurice;Saint-Maurice;t:orgName
i04301;;Kirche Saint-Memmie in Cousances-les-Forges, c. Ancerville, arr. Bar-le-Duc, Meuse;914;;Kirche Saint-Memmie in Cousances(-les-Forges, c. Ancerville, arr. Bar-le-Duc, Meuse);Saint-Memmie in Cousances(-les-Forges, c. Ancerville, arr. Bar-le-Duc, Meuse);t:orgName
i04302;;Kirche Saint-Nicolas de insula de Lourz Cheminon, c. Thiéblemont-Farémont, arr. Vitry-le-François;667;;Kirche Saint-Nicolas de insula de Lourz (Cheminon, c. Thiéblemont-Farémont, arr. Vitry-le-François);Saint-Nicolas de insula de Lourz (Cheminon, c. Thiéblemont-Farémont, arr. Vitry-le-François);t:orgName
;;;1110e;Empfänger;Abt und Konvent von Saint-Remi in Reims;Saint-Remi in Reims;t:persName
;;;1123a;Empfänger;Abt und Konvent von Saint-Remi in Reims;Saint-Remi in Reims;t:persName
i04303;;Kirche Saint-Pierre in Selincourt bei Hornoy, arr. Amiens, Somme;757;;Kirche Saint-Pierre in Selincourt (bei Hornoy, arr. Amiens, Somme);Saint-Pierre in Selincourt (bei Hornoy, arr. Amiens, Somme);t:orgName
i04304;;Kirche Saint-Remi;376;;Kirchen Saint-Remi;Saint-Remi;t:orgName
i04307;;Kirche Saint-Riquier c. Ailly-le-Haut-Clocher, arr., Abbeville, Somme;823;;Kirche Saint-Riquier (c. Ailly-le-Haut-Clocher, arr., Abbeville, Somme);Saint-Riquier (c. Ailly-le-Haut-Clocher, arr., Abbeville, Somme);t:orgName
i04309;;Kirche Saint-Sixte;740;;Kirche Saint-Sixte;Saint-Sixte;t:orgName
i04310;;Kirche und Ortschaft namens Anor c. Trélon, arr. Avesnes-sur-Helpe, Nord;967;;Kirche und Ortschaft namens Anor (c. Trélon, arr. Avesnes-sur-Helpe, Nord);Anor (c. Trélon, arr. Avesnes-sur-Helpe, Nord);t:orgName
i04311;;Kirche von Aire-sur-la-Lys, arr. Saint-Omer, Pas-de-Calais;730;;Kirche von Aire(-sur-la-Lys, arr. Saint-Omer, Pas-de-Calais);Aire(-sur-la-Lys, arr. Saint-Omer, Pas-de-Calais);t:orgName
i04312;;Kirche von Ambrines;1079e;;Kirche von Ambrines;Ambrines;t:orgName
i04313;;Kirche von Amiens;707;;Kirche von Amiens;Amiens;t:orgName
i04315;;Kirche von Arras;325;;Kirche von Arras;Arras;t:orgName
;;;304;;Abtes von Cluny;Cluny;t:persName
;;;304;;Abt von Cluny;Cluny;t:persName
;;;304;;Abt von Cluny;Cluny;t:persName
;;;304;;Abt von Cluny;Cluny;t:persName
;;;304;;Abt von Cluny;Cluny;t:persName
;;;304;;Abt von Cluny;Cluny;t:persName
;;;306;;Abt von Cluny;Cluny;t:persName
;;;309;;Abt von Cluny;Cluny;t:persName
i04323;;Kirche von Aubigny;1079a;;Kirche von Aubigny;Aubigny;t:orgName
i04325;;Kirche von Aubigny-en-Artois;1117;;Kirche von Aubigny(-en-Artois);Aubigny(-en-Artois);t:orgName
i04326;;Kirche von Augy c. Braine, arr. Soissons, Aisne;750;;Kirche von Augy (c. Braine, arr. Soissons, Aisne);Augy (c. Braine, arr. Soissons, Aisne);t:orgName
i04328;;Kirche von Beauvais;480;;Kirche von Beauvais;Beauvais;t:orgName
i04329;;Kirche von Bonnesvalyn, c. Neuilly-Saint-Front, arr. Château-Thierry, Aisne;847;;Kirche von Bonnes(valyn, c. Neuilly-Saint-Front, arr. Château-Thierry, Aisne);Bonnes(valyn, c. Neuilly-Saint-Front, arr. Château-Thierry, Aisne);t:orgName
i04330;;Kirche von Bordeaux;111;;Kirche von Bordeaux;Bordeaux;t:orgName
i04331;;Kirche von Boulogne;501;;Kirche von Boulogne;Boulogne;t:orgName
i04332;;Kirche von Bourges;126;;Kirche von Bourges;Bourges;t:orgName
;;;1110g;;Abt von Marmoutier;Marmoutier;t:persName
;;;1110h;;Abtes von Marmoutier;Marmoutier;t:persName
i04334;;Kirche von Braux cne Bogny-sur-Meuse, c. Monthermé, arr. Charleville-Mézières, Ardennes;672;;Kirche von Braux (cne Bogny-sur-Meuse, c. Monthermé, arr. Charleville-Mézières, Ardennes);Braux (cne Bogny-sur-Meuse, c. Monthermé, arr. Charleville-Mézières, Ardennes);t:orgName
i04335;;Kirche von Brieulles-sur-Meuse;1119b;;Kirche von Brieulles-sur-Meuse;Brieulles-sur-Meuse;t:orgName
i04337;;Kirche von Cambrai;326;;Kirche von Cambrai;Cambrai;t:orgName
i04346;;Kirche von Canterbury bei Rosnay c. Ville-en-Tardenois, arr. Reims, Marne;298;;Kirche von Canterbury bei Rosnay (c. Ville-en-Tardenois, arr. Reims, Marne);Canterbury bei Rosnay (c. Ville-en-Tardenois, arr. Reims, Marne);t:orgName
;;;898;;Abt von Montier-en-Der;Montier-en-Der;t:persName
;;;898;;Abt von Montier-en-Der;Montier-en-Der;t:persName
i04347;;Kirche von Châlons;882;;Kirche von Châlons;Châlons;t:orgName
;;;934;;Abt von Montier-en-Der (arr. Saint-Dizier, Haute-Marne);Montier-en-Der (arr. Saint-Dizier, Haute-Marne);t:persName
;;;943;;Abt von Montier-en-Der (arr. Saint-Dizier, Haute-Marne);Montier-en-Der (arr. Saint-Dizier, Haute-Marne);t:persName
i04348;;Kirche von Châlons-en-Champagne;524;;Kirche von Châlons-en-Champagne;Châlons-en-Champagne;t:orgName
i04352;;Kirche von Champaubert Giffaumont-Champaubert, c. Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson, arr. Vitry-le-François, Marne;798;;Kirche von Champaubert (Giffaumont-Champaubert, c. Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson, arr. Vitry-le-François, Marne);Champaubert (Giffaumont-Champaubert, c. Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson, arr. Vitry-le-François, Marne);t:orgName
i04353;;Kirche von Chartres;254;;Kirche von Chartres;Chartres;t:orgName
i04356;;Kirche von Clairvaux;611;;Kirche von Clairvaux;Clairvaux;t:orgName
i04358;;Kirche von Compiègne;878;;Kirche von Compiègne;Compiègne;t:orgName
i04359;;Kirche von Crapeaumesnil c. Lassigny, arr. Compiègne, Oise;623;;Kirche von Crapeaumesnil (c. Lassigny, arr. Compiègne, Oise);Crapeaumesnil (c. Lassigny, arr. Compiègne, Oise);t:orgName
i04361;;Kirche von Dudzele nördl. Brügge, Prov. Westflandern, Belgien, Diöz. Tournai;901;;Kirche von Dudzele (nördl. Brügge, Prov. Westflandern, Belgien, Diöz. Tournai);Dudzele (nördl. Brügge, Prov. Westflandern, Belgien, Diöz. Tournai);t:orgName
;;;953;;);;t:persName
i04362;;Kirche von Francastel c. Crèvecœur-le-Grand, arr. Beauvais, Oise;947;;Kirche von Francastel (c. Crèvecœur-le-Grand, arr. Beauvais, Oise);Francastel (c. Crèvecœur-le-Grand, arr. Beauvais, Oise);t:orgName
i04363;;Kirche von Gouy c. Le Catelet, arr. Saint-Quentin, Aisne;921;;Kirche von Gouy (c. Le Catelet, arr. Saint-Quentin, Aisne);Gouy (c. Le Catelet, arr. Saint-Quentin, Aisne);t:orgName
i04365;;Hildesheim, Bistum;18;;Kirche von Hildesheim;Hildesheim;t:orgName
i04367;;Kirche von Hondschoote arr. Dunkerque, Nord;827;;Kirche von Hondschoote (arr. Dunkerque, Nord);Hondschoote (arr. Dunkerque, Nord);t:orgName
i04368;;Kirche von Konstantinopel;134;;Kirche von Konstantinopel;Konstantinopel;t:orgName
;;;359;;Abt von Saint-Médard (vor Soissons);Saint-Médard (vor Soissons);t:persName
i04369;;Kirche von Langres;127;;Kirche von Langres;Langres;t:orgName
i04371;;Kirche von Laon;90;;Kirche von Laon;Laon;t:orgName
;;;378;;Abt von Saint-Nicaise;Saint-Nicaise;t:persName
i04375;;Kirche von Le Mont-Saint-Éloi;1114;;Kirche von Le Mont-Saint-Éloi;Le Mont-Saint-Éloi;t:orgName
;;;882;;Abtes von Saint-Pierre-aux-Monts in Châlons-en-Champagne;Saint-Pierre-aux-Monts in Châlons-en-Champagne;t:persName
;;;936;;Abt von Saint-Pierre(-aux-Monts) (in Châlons-en-Champagne);Saint-Pierre(-aux-Monts) (in Châlons-en-Champagne);t:persName
i04377;;Kirche von Louegines Louvignies-Quesnoy, arr. Avesnes-sur-Helpe, Nord, Diözese Cambrai;1133;;Kirche von Louegines (Louvignies-Quesnoy, arr. Avesnes-sur-Helpe, Nord, Diözese Cambrai);Louegines (Louvignies-Quesnoy, arr. Avesnes-sur-Helpe, Nord, Diözese Cambrai);t:orgName
;;;378;;Abt von Saint-Remi;Saint-Remi;t:persName
;;;409;;Abt von Saint-Remi;Saint-Remi;t:persName
;;;781;;Abt von Saint-Remi;Saint-Remi;t:persName
;;;977;;Abt von Saint-Remi;Saint-Remi;t:persName
;;;978;;Abtes von Saint-Remi;Saint-Remi;t:persName
i04378;;Kirche von Lyon;127;;Kirche von Lyon;Lyon;t:orgName
i04379;;Kirche von Maroilles c. Landrecies, arr. Avesnes-sur-Helpe, Nord;793;;Kirche von Maroilles (c. Landrecies, arr. Avesnes-sur-Helpe, Nord);Maroilles (c. Landrecies, arr. Avesnes-sur-Helpe, Nord);t:orgName
i04381;;Kirche von Masdeium;807;;Kirche von Masdeium;Masdeium;t:orgName
i04382;;Kirche von Moiremont c. et arr. Sainte-Menehould, Marne;985;;Kirche von Moiremont (c. et arr. Sainte-Menehould, Marne);Moiremont (c. et arr. Sainte-Menehould, Marne);t:orgName
i04383;;Kirche von Montfaucon arr. Verdun, Meuse;680;;Kirche von Montfaucon (arr. Verdun, Meuse);Montfaucon (arr. Verdun, Meuse);t:orgName
i04384;;Kirche von Noyon;350;;Kirche von Noyon;Noyon;t:orgName
i04388;;Kirche von Orléans;258;;Kirche von Orléans;Orléans;t:orgName
i04389;;Kirche von Pogny c. Marson, arr. Châlons, Marne;733;;Kirche von Pogny (c. Marson, arr. Châlons, Marne);Pogny (c. Marson, arr. Châlons, Marne);t:orgName
i04390;;Kirche von Prémontré c. Anizy-le-Château, arr. Laon, Aisne;738;;Kirche von Prémontré (c. Anizy-le-Château, arr. Laon, Aisne);Prémontré (c. Anizy-le-Château, arr. Laon, Aisne);t:orgName
i04440;;Kirche von Rekkem c. Menen, arr. Kortrijk, Westflandern, Belgien;550;;Kirche von Rekkem (c. Menen, arr. Kortrijk, Westflandern, Belgien);Rekkem (c. Menen, arr. Kortrijk, Westflandern, Belgien);t:orgName
;;;88;;Actard;;t:persName
i04441;;Kirche von Roye;641a;;Kirche von Roye;Roye;t:orgName
;;;91;;Bischof Actard;;t:persName
;;;99;;Bischof Actard;;t:persName
i04442;;Kirche von Saconin-et-Breuil, c. Vic-sur-Aisne, arr. Soissons, Aisne;1050;;Kirche von Saconin(-et-Breuil, c. Vic-sur-Aisne, arr. Soissons, Aisne);Saconin(-et-Breuil, c. Vic-sur-Aisne, arr. Soissons, Aisne);t:orgName
i04443;;Kirche von Saint-Dizier;898;;Kirche von Saint-Dizier;Saint-Dizier;t:orgName
i04445;;Kirche von Saint-Médard in Barleux c. et arr. Péronne, Somme;954;;Kirche von Saint-Médard in Barleux (c. et arr. Péronne, Somme);Saint-Médard in Barleux (c. et arr. Péronne, Somme);t:orgName
i04446;;Kirche von Saint-Memmie von Cousances-les-Forges, c. Ancerville, arr. Bar-le-Duc, Meuse;811;;Kirche von Saint-Memmie von Cousances(-les-Forges, c. Ancerville, arr. Bar-le-Duc, Meuse);Saint-Memmie von Cousances(-les-Forges, c. Ancerville, arr. Bar-le-Duc, Meuse);t:orgName
;;;214;;Erzbischof Adalbero;;t:persName
i04447;;Kirche von Saint-Remi in Masdeium;895;;Kirche von Saint-Remi in Masdeium ;Saint-Remi in Masdeium;t:orgName
;;;186;Empfänger;Adalbero, Erzbischof von Reims;Reims;t:persName
;;;187;Aussteller;Adalberos, Erzbischof von Reims;Reims;t:persName
;;;188;Empfänger;Erzbischof Adalbero von Reims;Reims;t:persName
;;;189;Empfänger;Erzbischof Adalbero von Reims;Reims;t:persName
i04448;;Kirche von Saint-Vaast Arras, Pas-de-Calais;730;;Kirche von Saint-Vaast (Arras, Pas-de-Calais);Saint-Vaast (Arras, Pas-de-Calais);t:orgName
i04449;;Kirche von Senlis;1053;;Kirche von Senlis;Senlis;t:orgName
;;;131;;Adalgar, Erzbischof von Hamburg;Hamburg;t:persName
i04450;;Kirche von Soissons;763;;Kirche von Soissons;Soissons;t:orgName
i04452;;Kirche von Souastre c. Pas-en-Artois, arr. Arras, Pas-de-Calais;852;;Kirche von Souastre (c. Pas-en-Artois, arr. Arras, Pas-de-Calais);Souastre (c. Pas-en-Artois, arr. Arras, Pas-de-Calais);t:orgName
;;;652;;Adam;;t:persName
;;;1003;;Adam;;t:persName
i04453;;Kirche von Tournai;350;;Kirche von Tournai;Tournai;t:orgName
i04457;;Kirche von Treviso;1092;Empfänger;Kirche von Treviso;Treviso;t:orgName
i04458;;Kirche von Vicoigne cne Raismes, c. Saint-Amand-les-Eaux, arr. Valenciennes, Nord;761;;Kirche von Vicoigne (cne Raismes, c. Saint-Amand-les-Eaux, arr. Valenciennes, Nord);Vicoigne (cne Raismes, c. Saint-Amand-les-Eaux, arr. Valenciennes, Nord);t:orgName
i04459;;Kirche von Witainéglise ecclesia de de octaua, Diözese Amiens, südl. Framicourt, c. Gamaches, arr. Abbeville, Somme;832;;Kirche von Witainéglise (ecclesia de de octaua, Diözese Amiens, südl. Framicourt, c. Gamaches, arr. Abbeville, Somme);Witainéglise (ecclesia de de octaua, Diözese Amiens, südl. Framicourt, c. Gamaches, arr. Abbeville, Somme);t:orgName
i04460;;Kirche von Witry-lez-Reims;708;;Kirche von Witry(-lez-Reims);Witry(-lez-Reims);t:orgName
i04488;;Klerus und Volk der Kirche von Châlons-en-Champagne;150;;Klerus und Volk der Kirche von Châlons(-en-Champagne);Châlons(-en-Champagne);t:orgName
i04492;;Kloster;116;;Kloster;;t:orgName
i04493;;Kloster Avenay Val-dOr, c. Ay, arr. Reims, Marne;136;;Kloster Avenay (Val-d’Or, c. Ay, arr. Reims, Marne);Avenay (Val-d’Or, c. Ay, arr. Reims, Marne);t:orgName
i04494;;Kloster Corbie;53;Empfänger;Kloster Corbie;Corbie;t:orgName
i04495;;Kloster Corbie arr. Amiens, Somme;894;;Kloster Corbie (arr. Amiens, Somme);Corbie (arr. Amiens, Somme);t:orgName
i04497;;Kloster Cysoing, arr. Lille, Nord;132;;Kloster (Cysoing, arr. Lille, Nord);Cysoing, arr. Lille, Nord);t:orgName
;;;171;Empfänger;Agapit II.;;t:persName
;;;172;Aussteller;Agapits II.;;t:persName
;;;173a;;Agapits II.;;t:persName
;;;174;Empfänger;(Agapit II.);;t:persName
;;;175;Aussteller;Agapit II.;;t:persName
;;;176;Aussteller;Agapits II.;;t:persName
;;;177;Aussteller;(Agapits II.);;t:persName
;;;179;Empfänger;Agapit II.;;t:persName
;;;180;Aussteller;Agapit II.;;t:persName
i04498;;Kloster locellum Thin-le-Moutier, c. Signy-lAbbaye, arr. Charleville-Mézières, Ardennes;188;;Kloster (locellum) Thin(-le-Moutier, c. Signy-l’Abbaye, arr. Charleville-Mézières, Ardennes);Thin(-le-Moutier, c. Signy-l’Abbaye, arr. Charleville-Mézières, Ardennes);t:orgName
i04499;;Klöstern des Zisterzienserordens;1060;;Klöstern des Zisterzienserordens;;t:orgName
i04500;;Kloster Saint-Denis;285;;Kloster Saint-Denis;Saint-Denis;t:orgName
;;;817;;Witwe Agnes, Schwester;;t:persName
i04501;;Kloster Saint-Remi;378;;Kloster Saint-Remi;Saint-Remi;t:orgName
i04503;;Kloster Saint-Vaast;675;;Kloster Saint-Vaast;Saint-Vaast;t:orgName
i04504;;Klosters Bonneval;117;;Klosters (Bonneval);Bonneval;t:orgName
;;;718;;Aimelius von Aubigny(-au-Bac?, c. Arleux, arr. Douai, Nord);Aubigny(-au-Bac?, c. Arleux, arr. Douai, Nord);t:persName
i04506;;Klosters Sint-Pieters von Blandinienberg Gent;255;;Klosters (Sint-Pieters von) Blandinienberg (Gent);(Sint-Pieters von) Blandinienberg (Gent);t:orgName
;;;247;Empfänger;(Aimo) von Bourges;Bourges;t:persName
i04507;;Kloster von Novy-Chevrières, arr. Rethel, Ardennes;745;;Kloster von Novy(-Chevrières, arr. Rethel, Ardennes);Novy(-Chevrières, arr. Rethel, Ardennes);t:orgName
i04550;;Kurie der Kirche von Cambrai;767;;Kurie der Kirche von Cambrai;Cambrai;t:orgName
;;;602;;Bischof (Alain) von Auxerre;Auxerre;t:persName
;;;603;;Bischof (Alain) von Auxerre;Auxerre;t:persName
i04591;;Laon;1042;;, Laon;Laon;t:orgName
i04598;;lateinische Kirche;87;;lateinische Kirche;;t:orgName
i04751;;Leprosenkapelle;643;;Leprosenkapelle;;t:orgName
i04752;;Leprosenkapelle bei Bourbourg arr. Dunkerque, Nord;1120;;Leprosenkapelle bei Bourbourg (arr. Dunkerque, Nord);Bourbourg (arr. Dunkerque, Nord);t:orgName
